2554, Crime and Punishment, Fyodor Dostoyevsky
345, Dracula, Bram Stoker
69087, The murder of Roger Ackroyd, Agatha Christie
2097, The Sign of the Four, Arthur Conan Doyle
2147, The Works of Edgar Allan Poe, Edgar Allan Poe
108, The Return of Sherlock Holmes, Arthur Conan Doyle
209, The Turn of the Screw, Henry James
50290, Space Station 1, Frank Belknap Long
6133, The Extraordinary Adventures of Arsene Lupin Gentleman-Burglar, Maurice Leblanc
1695, The Man Who Was Thursday: A Nightmare, G. K. Chesterton
10002, The House on the Borderland, William Hope Hodgson
43, The Strange Case of Dr. Jekyll and Mr. Hyde, Robert Louis Stevenson
1661, The Adventures of Sherlock Holmes, Arthur Conan Doyle
175, The Phantom of the Opera, Gaston Leroux
863, The Mysterious Affair at Styles, Agatha Christie
834, The Memoirs of Sherlock Holmes, Arthur Conan Doyle
2868, The Green Mummy, Fergus Hume
30434, Occasion for Disastor, Randall Garret and Laurence Janifer
32562, And That's how it was Officer, Ralph Sholto
8492, The King in Yellow, Robert Chambers
2148, The works of Edgar Allan Poe part 2, Edgar Allan Poe
58866, The Murder on the Links, Agatha Christie
583, The Woman in White, Wilkie Collins
50133, The Dunwich Horror, H. P. Lovecraft
31469, The Shunned House, H. P. Lovecraft
20121, Lone Star Planet, H. Beam Piper and John J. McGuire
22541, The Misplaced Battleship, Harry Harrison
22342, Supermind, Randall Garrett and Laurence M. Janifer
24149, The Ambulance Made Two Trips, Murray Leinster
18151, Time Crime, H. Beam Piper
23599, The Big Fix, George O. Smith
53419, Twenty-Five Ghost Stories, W. Bob Holland
61262, Poirot Investigates, Agatha Christie
155, The Moonstone, Wilkie Collins
204, The innocence of Father Brown, G. K. Chesterton
389, The Great God Pan, Arthur Machen
68283, The call of Cthulhu, H. P. Lovecraft
1155, The Secret Adversary, Agatha Christie
61168, The Man in the Brown Suit, Agatha Christie
70114, The Big Four, Agatha Christie
8954, Lady Audley's Secret, M. E. Braddon
3268, The Mysteries of Udolpho, Ann Ward Radcliffe
558, The Thirty-Nine Steps, John Buchan
72824, The mystery of the Blue Train, Agatha Christie
974, The Secret Agent: A Simple Tale, Joseph Conrad
564, The Mystery of Edwin Drood, Charles Dickens
2350, His last bow : Some later reminiscences of Sherlock Holmes, Arthur Conan Doyle
20546, The Hand in the Dark, Arthur J. Rees
75288, The Seven Dials mystery, Agatha Christie
1849, The Yellow Crayon, E. Phillips Oppenheim
65238, The Secret of Chimneys, Agatha Christie
70652, At the mountains of madness, H. P. Lovecraft
